listing_id,ad_type,title,price_eur,price_raw,price_per_sqm_eur,rent_monthly_eur,size_sqm,rooms_raw,rooms_category,layout_group,floor_raw,floor_numeric,total_floors,building,section,address,municipality,agency_name,is_owner,off_plan,condition,heating,year_built,parking,elevator,terrace,furnished,registered,is_duplicate,duplicate_count,duplicate_group_id,duplicate_agencies,published_date_raw,updated_date_raw,scraped_at,image_count,url,description
5425646127095,prodaja,"BW Echo, lux novogradnja ID#12410",285000.0,285.000 €,5054.09,,56.39,2.0,,,,,,,,"Ulica Dositejeva 9/3, Beograd",Savski venac,,False,True,,,,,,,,,True,51,dup-5425643474436-5425643490356-5425644545135-5425644559045-5425644560367-5425645112262-5425645200409-5425645233975-5425645331743-5425645349970-5425645427918-5425645432042-5425645471051-5425645543966-5425645544752-5425645570699-5425645570699-5425645591054-5425645775713-5425646086599-5425646108605-5425646127095-5425646212633-5425646228616-5425646382454-5425646757830-5425646915507-5425647049316-5425647054582-5425647056819-5425647060886-5425647062990-5425647063470-5425647165452-5425647181870-5425647198460-5425647209895-5425647211991-5425647211992-5425647212382-5425647241347-5425647241368-5425647286575-5425647294452-5425647324824-5425647329702-5425647361940-5425647361963-5425647429570-5425647431198-5425647431441,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-echo-lux-novogradnja-id12410/5425646127095?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425645200409,prodaja,BW Aurora - dvosoban stan sa pogledom na reku,260000.0,260.000 €,4905.66,,53.0,2.0,2.0,2-Bedroom,,,,,,Ulica Bulevar Mihajla Pupina 165g,Savski venac,,False,False,,,,,,,,,True,51,dup-5425643474436-5425643490356-5425644545135-5425644559045-5425644560367-5425645112262-5425645200409-5425645233975-5425645331743-5425645349970-5425645427918-5425645432042-5425645471051-5425645543966-5425645544752-5425645570699-5425645570699-5425645591054-5425645775713-5425646086599-5425646108605-5425646127095-5425646212633-5425646228616-5425646382454-5425646757830-5425646915507-5425647049316-5425647054582-5425647056819-5425647060886-5425647062990-5425647063470-5425647165452-5425647181870-5425647198460-5425647209895-5425647211991-5425647211992-5425647212382-5425647241347-5425647241368-5425647286575-5425647294452-5425647324824-5425647329702-5425647361940-5425647361963-5425647429570-5425647431198-5425647431441,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-aurora---dvosoban-stan-sa-pogledom-na-reku/5425645200409?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646442394,prodaja,"Bw Victoria, 61 m2",418000.0,418.000 €,6836.77,,61.14,2.0,,,,,,,,Ulica Hercegovacka 14a,Savski venac,,False,,,,,,,,,,True,17,dup-5425645449861-5425646096448-5425646442394-5425646484077-5425646532426-5425647051001-5425647051002-5425647054238-5425647054240-5425647054242-5425647054578-5425647056812-5425647056828-5425647056838-5425647077181-5425647350299-5425647361939,"[""Owner"", ""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-victoria-61-m2/5425646442394?kid=3&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647114290,prodaja,Dvosoban stan - BW Sena,260000.0,260.000 €,4182.75,,62.16,2.0,2.0,2-Bedroom,,,,,,Ulica Bulevar Mihajla Pupina 165g,Savski venac,,False,False,,,,,,,,,False,1,,[],,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/dvosoban-stan---bw-sena/5425647114290?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646725410,prodaja,BW Riviera-Najprestižnija lokacija uz reku,665000.0,665.000 €,8243.46,,80.67,2.0,,,,,,,,Ulica Mileševska 43,Savski venac,,False,,,,,,,,,,True,3,dup-5425645156999-5425646725410-5425646997447,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-riviera-najprestiznija-lokacija-uz-reku/5425646725410?kid=4&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647200860,prodaja,"BW Sena, odlična ponuda, premium zgrada ID#4616",297000.0,297.000 €,4950.0,,60.0,2.0,,,,,,,,"Ulica Hercegovačka 23/209, Savski Venac",Savski venac,,False,,,,,,,,,,True,8,dup-5425646195462-5425646350536-5425646964286-5425647056813-5425647111552-5425647165407-5425647190745-5425647200860,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-sena-odlicna-ponuda-premium-zgrada-id4616/5425647200860?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647051002,prodaja,"Beograd na vodi, zgrada Bw Victoria, 62m2",418000.0,418.000 €,6697.64,,62.41,2.0,,,,,,,,Ulica Hercegovacka 14a,Savski venac,,False,False,,,,,,,,,True,17,dup-5425645449861-5425646096448-5425646442394-5425646484077-5425646532426-5425647051001-5425647051002-5425647054238-5425647054240-5425647054242-5425647054578-5425647056812-5425647056828-5425647056838-5425647077181-5425647350299-5425647361939,"[""Owner"", ""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/beograd-na-vodi-zgrada-bw-victoria-62m2/5425647051002?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425645331743,prodaja,"Savski venac, Beograd na vodi, Luke Ćelovića Trebi",285000.0,285.000 €,5277.78,,54.0,2.0,,,,,,,,"Ulica Njegoševa 56, Beograd",Savski venac,,False,False,,,,,,,,,True,51,dup-5425643474436-5425643490356-5425644545135-5425644559045-5425644560367-5425645112262-5425645200409-5425645233975-5425645331743-5425645349970-5425645427918-5425645432042-5425645471051-5425645543966-5425645544752-5425645570699-5425645570699-5425645591054-5425645775713-5425646086599-5425646108605-5425646127095-5425646212633-5425646228616-5425646382454-5425646757830-5425646915507-5425647049316-5425647054582-5425647056819-5425647060886-5425647062990-5425647063470-5425647165452-5425647181870-5425647198460-5425647209895-5425647211991-5425647211992-5425647212382-5425647241347-5425647241368-5425647286575-5425647294452-5425647324824-5425647329702-5425647361940-5425647361963-5425647429570-5425647431198-5425647431441,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/savski-venac-beograd-na-vodi-luke-celovica-tr/5425645331743?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646757830,prodaja,BW Eden - Apollo centar - Spreman za useljenje,297000.0,297.000 €,5406.88,,54.93,2.0,,,,,,,,Ulica Luke Ćelovića Trebinjca 18,Savski venac,,False,True,,,,,,,,,True,51,dup-5425643474436-5425643490356-5425644545135-5425644559045-5425644560367-5425645112262-5425645200409-5425645233975-5425645331743-5425645349970-5425645427918-5425645432042-5425645471051-5425645543966-5425645544752-5425645570699-5425645570699-5425645591054-5425645775713-5425646086599-5425646108605-5425646127095-5425646212633-5425646228616-5425646382454-5425646757830-5425646915507-5425647049316-5425647054582-5425647056819-5425647060886-5425647062990-5425647063470-5425647165452-5425647181870-5425647198460-5425647209895-5425647211991-5425647211992-5425647212382-5425647241347-5425647241368-5425647286575-5425647294452-5425647324824-5425647329702-5425647361940-5425647361963-5425647429570-5425647431198-5425647431441,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-eden---apollo-centar---spreman-za-useljenj/5425646757830?kid=4&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646484077,prodaja,"BW Victoria,premium,pogled na reku, parking",399000.0,399.000 €,5955.22,,67.0,2.0,,,,,,,,Ulica Bulevar Kralja Aleksandra I Karađorđevića 33,Savski venac,,False,,,,,,,,,,True,17,dup-5425645449861-5425646096448-5425646442394-5425646484077-5425646532426-5425647051001-5425647051002-5425647054238-5425647054240-5425647054242-5425647054578-5425647056812-5425647056828-5425647056838-5425647077181-5425647350299-5425647361939,"[""Owner"", ""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-victoria-premium-pogled-na-reku-parking/5425646484077?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646868783,prodaja,"Stan s pogledom na reku - BW Topaz, na rate, bez p",375000.0,375.000 €,5597.01,,67.0,2.0,,,,,,,,Ulica Bulevar Mihajla Pupina 165g,Savski venac,,False,True,,,,,,,,,True,15,dup-5425645739672-5425645739672-5425645741358-5425646687135-5425646868783-5425646881265-5425647041770-5425647054204-5425647060887-5425647241366-5425647255093-5425647325470-5425647349233-5425647349264-5425647361950,"[""Owner"", ""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/stan-s-pogledom-na-reku---bw-topaz-na-rate-be/5425646868783?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425645295632,prodaja,Stan Bw Kula sa prelepim pogledom i terasom,665888.0,665.888 €,9067.1,,73.44,2.0,,,,,,,,,Savski venac,,False,,,,,,,,,,True,2,dup-5425645033171-5425645295632,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/stan-bw-kula-sa-prelepim-pogledom-i-terasom/5425645295632?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647165407,prodaja,"BW Sena, premium zgrada, pogled na park ID#4596",297000.0,297.000 €,4868.85,,61.0,2.0,,,,,,,,"Ulica Hercegovačka 23/209, Savski Venac",Savski venac,,False,,,,,,,,,,True,8,dup-5425646195462-5425646350536-5425646964286-5425647056813-5425647111552-5425647165407-5425647190745-5425647200860,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-sena-premium-zgrada-pogled-na-park-id4596/5425647165407?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646882266,prodaja,Beograd na vodi – BW Libera – 2.0 - garaža,375000.0,375.000 €,6455.5,,58.09,2.0,,,,,,,,,Savski venac,,False,,,,,,,,,,False,1,,[],,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/beograd-na-vodi-bw-libera-2-0---garaza/5425646882266?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646740665,prodaja,Lux novogradnja u Beogradu na vodi - Premium Perla,425000.0,425.000 €,6071.43,,70.0,2.0,,,,,,,,Ulica Patrijarha Varnave 20,Savski venac,,False,,,,,,,,,,True,6,dup-5425646590449-5425646740665-5425646968866-5425646975531-5425647054203-5425647316462,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-novogradnja-u-beogradu-na-vodi---premium/5425646740665?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647361940,prodaja,"Bw Bella , 2.0 , 55m2",297000.0,297.000 €,5406.88,,54.93,2.0,,,,,,,,Ulica Hercegovacka 14a,Savski venac,,False,,,,,,,,,,True,51,dup-5425643474436-5425643490356-5425644545135-5425644559045-5425644560367-5425645112262-5425645200409-5425645233975-5425645331743-5425645349970-5425645427918-5425645432042-5425645471051-5425645543966-5425645544752-5425645570699-5425645570699-5425645591054-5425645775713-5425646086599-5425646108605-5425646127095-5425646212633-5425646228616-5425646382454-5425646757830-5425646915507-5425647049316-5425647054582-5425647056819-5425647060886-5425647062990-5425647063470-5425647165452-5425647181870-5425647198460-5425647209895-5425647211991-5425647211992-5425647212382-5425647241347-5425647241368-5425647286575-5425647294452-5425647324824-5425647329702-5425647361940-5425647361963-5425647429570-5425647431198-5425647431441,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-bella-2-0-55m2/5425647361940?kid=1&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425647097390,prodaja,BW Perla - Stan u najtraženijoj vertikali,750000.0,750.000 €,6365.1,,117.83,2.0,,,,,,,,Ulica Luke Ćelovića Trebinjca 18,Savski venac,,False,,,,,,,,,,True,6,dup-5425645728797-5425647097390-5425647131821-5425647174483-5425647298786-5425647362339,"[""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/bw-perla---stan-u-najtrazenijoj-vertikali/5425647097390?kid=4&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
5425646532426,prodaja,Stan sa pogledom na re­ku - BW Victoria,418000.0,418.000 €,6836.77,,61.14,2.0,,,,,,,,Ulica Luke Ćelovića Trebinjca 18,Savski venac,,True,,,,,,,,,,True,17,dup-5425645449861-5425646096448-5425646442394-5425646484077-5425646532426-5425647051001-5425647051002-5425647054238-5425647054240-5425647054242-5425647054578-5425647056812-5425647056828-5425647056838-5425647077181-5425647350299-5425647361939,"[""Owner"", ""Unknown""]",,,2026-07-27T08:24:48.778539+00:00,2,https://www.halooglasi.com/nekretnine/prodaja-stanova/stan-sa-pogledom-na-reku---bw-victoria/5425646532426?kid=4&sid=1785140835454,U pretrazi sajta možete željene oglase označiti kao izabrane i tako ih kasnije lakše pronaći. Želim da saznam više.
